date,rank_ic,n_symbols
2024-01-15,-0.08910078,937
2024-01-16,-0.06175046,937
2024-01-17,-0.00392194,937
2024-01-18,-0.00801732,937
2024-01-19,0.04271702,937
2024-01-22,0.08687319,938
2024-01-23,-0.02162722,938
2024-01-24,-0.05810131,938
2024-01-25,0.02612236,938
2024-01-26,-0.01340530,939
2024-01-29,0.00931818,939
2024-01-30,0.05302568,939
2024-01-31,0.13859270,939
2024-02-01,0.12053850,939
2024-02-02,0.21998218,938
2024-02-05,0.31205035,939
2024-02-06,0.32095386,940
2024-02-07,-0.03569983,940
2024-02-08,-0.02145541,940
2024-02-19,0.13092055,942
2024-02-20,0.06158654,942
2024-02-21,0.05151371,943
2024-02-22,0.04168000,943
2024-02-23,0.08571297,943
2024-02-26,0.08771550,943
2024-02-27,0.05675806,944
2024-02-28,0.05672616,944
2024-02-29,0.11631048,945
2024-03-01,0.07669932,945
2024-03-04,0.14369487,945
2024-03-05,0.14792571,945
2024-03-06,0.10729747,944
2024-03-07,0.11882478,944
2024-03-08,0.17310545,944
2024-03-11,0.18559936,943
2024-03-12,0.19438945,944
2024-03-13,0.14982021,944
2024-03-14,0.06739500,945
2024-03-15,0.04248252,945
2024-03-18,0.14861736,945
2024-03-19,0.14582880,946
2024-03-20,0.15411793,946
2024-03-21,0.15373500,947
2024-03-22,0.16427809,947
2024-03-25,0.13028101,947
2024-03-26,0.15476620,947
2024-03-27,0.07383154,948
2024-03-28,0.00421172,948
2024-03-29,-0.02315408,948
2024-04-01,0.01263869,948
2024-04-02,0.03661639,948
2024-04-03,-0.01273404,948
2024-04-08,-0.00591185,948
2024-04-09,-0.01133538,948
2024-04-10,-0.02326978,948
2024-04-11,-0.04487332,948
2024-04-12,-0.08743471,948
2024-04-15,-0.02927773,948
2024-04-16,0.06968198,949
2024-04-17,-0.02381060,949
2024-04-18,-0.00244122,949
2024-04-19,0.08855912,949
2024-04-22,0.09781067,949
2024-04-23,0.01558114,950
2024-04-24,-0.05169545,950
2024-04-25,-0.02891882,950
2024-04-26,-0.01736561,950
2024-04-29,0.02054378,950
2024-04-30,0.03684030,949
2024-05-06,0.01386417,950
2024-05-07,0.00161170,949
2024-05-08,-0.02640650,949
2024-05-09,-0.06172434,949
2024-05-10,-0.02964535,949
2024-05-13,-0.04226498,949
2024-05-14,-0.02029047,950
2024-05-15,-0.01704279,950
2024-05-16,0.02049602,950
2024-05-17,-0.03566302,950
2024-05-20,0.00674197,948
2024-05-21,-0.00131053,949
2024-05-22,-0.04566295,950
2024-05-23,-0.09239409,950
2024-05-24,-0.05801683,950
2024-05-27,-0.03354949,950
2024-05-28,-0.00623165,950
2024-05-29,-0.01791894,949
2024-05-30,-0.01282678,949
2024-05-31,-0.06272785,949
2024-06-03,-0.01006909,950
2024-06-04,0.00745802,950
2024-06-05,-0.00836305,950
2024-06-06,0.07181137,950
2024-06-07,0.04929654,951
2024-06-11,-0.00275501,951
2024-06-12,-0.03833958,951
2024-06-13,0.02297884,952
2024-06-14,0.00771851,952
2024-06-17,0.06795494,952
2024-06-18,0.04852982,952
2024-06-19,0.08219058,952
2024-06-20,0.13765526,952
2024-06-21,0.14150983,953
2024-06-24,0.08275204,953
2024-06-25,-0.01082256,952
2024-06-26,-0.04265986,953
2024-06-27,0.04828828,954
2024-06-28,0.01156240,954
2024-07-01,0.04068532,953
2024-07-02,0.04238296,953
2024-07-03,0.07155707,954
2024-07-04,0.06577435,954
2024-07-05,0.05436225,954
2024-07-08,0.06277028,954
2024-07-09,0.26350620,955
2024-07-10,0.05674743,955
2024-07-11,0.11251297,955
2024-07-12,0.15586128,955
2024-07-15,0.21798201,955
2024-07-16,0.23897994,955
2024-07-17,0.23332216,955
2024-07-18,0.20362720,955
2024-07-19,0.16760192,955
2024-07-22,0.21580416,955
2024-07-23,0.19631857,956
2024-07-24,0.15715775,956
2024-07-25,0.05036813,956
2024-07-26,0.02853648,956
2024-07-29,0.10915991,956
2024-07-30,0.11815261,956
2024-07-31,0.12027661,956
2024-08-01,0.19503779,954
2024-08-02,0.11261598,955
2024-08-05,0.06079218,955
2024-08-06,0.09881998,955
2024-08-07,0.11806956,955
2024-08-08,0.06541392,955
2024-08-09,0.10173986,955
2024-08-12,0.06495487,955
2024-08-13,0.03982286,957
2024-08-14,0.03408672,957
2024-08-15,0.05308480,958
2024-08-16,0.06469770,958
2024-08-19,0.05828047,958
2024-08-20,0.07850733,958
2024-08-21,0.02192523,958
2024-08-22,-0.04770346,958
2024-08-23,0.01868480,958
2024-08-26,0.00664788,958
2024-08-27,0.05186734,958
2024-08-28,0.07777260,958
2024-08-29,0.08935277,958
2024-08-30,0.03777567,958
2024-09-02,-0.04739301,958
2024-09-03,0.01937051,958
2024-09-04,0.03888343,958
2024-09-05,-0.01986252,958
2024-09-06,-0.04656548,958
2024-09-09,-0.00131805,958
2024-09-10,-0.04130910,958
2024-09-11,-0.10323949,958
2024-09-12,-0.14853817,958
2024-09-13,-0.16008374,958
2024-09-18,-0.09305514,958
2024-09-19,-0.02766545,958
2024-09-20,-0.09770649,958
2024-09-23,-0.09661409,958
2024-09-24,-0.18763609,958
2024-09-25,-0.15255090,959
2024-09-26,-0.15821306,958
2024-09-27,-0.05406283,958
2024-09-30,-0.08536393,958
2024-10-08,0.05433086,956
2024-10-09,-0.00909581,956
2024-10-10,-0.01724370,956
2024-10-11,-0.13345584,956
2024-10-14,-0.19518031,957
2024-10-15,-0.11439622,958
2024-10-16,-0.15220738,959
2024-10-17,-0.09938260,960
2024-10-18,0.06677180,960
2024-10-21,0.21170238,959
2024-10-22,0.14244401,958
2024-10-23,0.09856276,958
2024-10-24,0.11882682,958
2024-10-25,0.13518024,958
2024-10-28,0.12496179,958
2024-10-29,0.16040433,957
2024-10-30,0.07433416,956
2024-10-31,0.12512009,957
2024-11-01,0.00989599,956
2024-11-04,0.07730833,956
2024-11-05,0.16597086,957
2024-11-06,0.12778788,957
2024-11-07,0.11566260,957
2024-11-08,0.20966182,957
2024-11-11,0.31526592,957
2024-11-12,0.26153683,958
2024-11-13,0.24732928,958
2024-11-14,0.20819418,958
2024-11-15,0.11792397,958
2024-11-18,-0.05769462,958
2024-11-19,0.04512133,958
2024-11-20,0.06602051,959
2024-11-21,0.00379312,959
2024-11-22,-0.01492143,959
2024-11-25,0.00669343,959
2024-11-26,0.00611979,959
2024-11-27,0.01595336,959
2024-11-28,0.04448679,958
2024-11-29,0.03260536,960
2024-12-02,0.03035096,960
2024-12-03,0.02634020,961
2024-12-04,0.02883890,960
2024-12-05,0.08591169,961
2024-12-06,0.08250388,961
2024-12-09,0.08192393,961
2024-12-10,0.09917498,961
